codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida
0026125507,0027,2018-11-14T17:10:00.000,77.4753,ARTURO GOMEZ  - AUT,VALLE DEL CAUCA,ALCALÁ,CAUCA,4.671388889,-75.77721944,Humedad del aire 2 mt,%
0021165501,0027,2019-07-10T05:20:00.000,77.40795,DOLORES  - AUT,TOLIMA,DOLORES,ALTO MAGDALENA,3.537155556,-74.82982778,Humedad del aire 2 mt,%
0024015506,0027,2017-11-10T21:00:00.000,97,CAPELLANIA - CAR,CUNDINAMARCA,FÚQUENE,SOGAMOSO,5.449,-73.769,Humedad del aire 2 mt,%
0026155505,0027,2017-07-31T08:35:00.000,80.116,GRANJA LUKER  - AUT,CALDAS,PALESTINA,CAUCA,5.070275,-75.68555278,Humedad del aire 2 mt,%
0026155503,0027,2018-09-23T12:55:00.000,62.04425,PLANALTO  - AUT,CALDAS,MANIZALES,CAUCA,4.989722222,-75.58971944,Humedad del aire 2 mt,%
0023105070,0027,2017-04-30T09:00:00.000,98,MACEO - AUT,ANTIOQUIA,YOLOMBÓ,MEDIO MAGDALENA,6.571638889,-74.79472222,Humedad del aire 2 mt,%
0026155505,0027,2016-09-22T07:35:00.000,84,GRANJA LUKER  - AUT,CALDAS,PALESTINA,CAUCA,5.070275,-75.68555278,Humedad del aire 2 mt,%
0021202230,0027,2015-01-08T18:30:00.000,77.8,UAN SEDE USME - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.467,-74.117,Humedad del aire 2 mt,%
0021202230,0027,2013-01-14T10:40:00.000,62.3,UAN SEDE USME - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.467,-74.117,Humedad del aire 2 mt,%
0021055501,0027,2018-01-29T05:55:00.000,76.60049,SIMON CAMPOS  - AUT,HUILA,LA PLATA,ALTO MAGDALENA,2.345830556,-75.87805556,Humedad del aire 2 mt,%
0026175501,0027,2017-09-26T03:00:00.000,88.85241,RAFAEL ESCOBAR  - AUT,CALDAS,SUPIA,CAUCA,5.45,-75.63305556,Humedad del aire 2 mt,%
0024015503,0027,2019-01-19T17:45:00.000,69.29743,CONFINES  - AUT,SANTANDER,CONFINES,SOGAMOSO,6.373027778,-73.20760833,Humedad del aire 2 mt,%
0026125505,0027,2017-05-15T13:00:00.000,51,LA BELLA  - AUT,QUINDÍO,CALARCÁ,CAUCA,4.501111111,-75.67138889,Humedad del aire 2 mt,%
0021202220,0027,2013-07-20T12:35:00.000,71.26,PARAISO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.617,-74.05,Humedad del aire 2 mt,%
0026055120,0027,2016-05-03T07:00:00.000,95,UNIVERSIDAD DEL VALLE  - AUT,VALLE DEL CAUCA,CALI,CAUCA,3.378,-76.53388889,Humedad del aire 2 mt,%
0021202220,0027,2015-05-23T05:25:00.000,71.79,PARAISO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.617,-74.05,Humedad del aire 2 mt,%
0021045501,0027,2019-07-14T13:30:00.000,76.69758,OPORAPA  - AUT,HUILA,OPORAPA,ALTO MAGDALENA,2.041941667,-76.01191667,Humedad del aire 2 mt,%
0021015502,0027,2019-07-13T08:00:00.000,83.08945,SAN AGUSTIN  - AUT,HUILA,SAN AGUSTÍN,ALTO MAGDALENA,1.851416667,-76.30433056,Humedad del aire 2 mt,%
0029065501,0027,2018-03-09T12:35:00.000,52.22041,"CIENAGA,LA  - AUT",MAGDALENA,CIÉNAGA,BAJO MAGDALENA,10.89785833,-74.08156667,Humedad del aire 2 mt,%
0023065503,0027,2018-10-28T21:00:00.000,99.95007,EL MIRADOR  - AUT,CUNDINAMARCA,SASAIMA,MEDIO MAGDALENA,4.95,-74.4,Humedad del aire 2 mt,%
0025025360,0027,2017-01-26T11:00:00.000,69,AEROPUERTO LAS FLORES  - AUT,MAGDALENA,EL BANCO,BAJO MAGDALENA,9.046333333,-73.97083333,Humedad del aire 2 mt,%
2120000107,0027,2018-10-25T15:45:00.000,70.58,LA FISCALA - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.536,-74.106,Humedad del aire 2 mt,%
0032075501,0027,2016-08-16T23:20:00.000,91,LEJANIAS  - AUT,META,LEJANÍAS,GUAVIARE,3.51995,-74.08978611,Humedad del aire 2 mt,%
0026125300,0027,2014-06-11T13:00:00.000,43,CALARCA - AUT,QUINDÍO,CALARCÁ,CAUCA,4.528305556,-75.59638889,Humedad del aire 2 mt,%
0023065180,0027,2006-02-23T13:00:00.000,51,VILLETA - AUT,CUNDINAMARCA,VILLETA,MEDIO MAGDALENA,5.016861111,-74.47097222,Humedad del aire 2 mt,%
0021202200,0027,2015-12-21T13:25:00.000,51.4,VITELMA,BOGOTA D.C.,"BOGOTA, D.C",META,4.575,-74.072,Humedad del aire 2 mt,%
0028035060,0027,2009-09-19T05:00:00.000,75,FEDEARROZ - AUT,CESAR,VALLEDUPAR,CESAR,10.46361111,-73.24805556,Humedad del aire 2 mt,%
0026125505,0027,2017-12-05T01:00:00.000,99.95157,LA BELLA  - AUT,QUINDÍO,CALARCÁ,CAUCA,4.501111111,-75.67138889,Humedad del aire 2 mt,%
0021201980,0027,2012-12-14T14:00:00.000,61.9,CERRO GUADALUPE - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.567,-74.05,Humedad del aire 2 mt,%
0029065130,0027,2013-01-14T15:00:00.000,44,LA GRAN VIA - AUT,MAGDALENA,ZONA BANANERA,BAJO MAGDALENA,10.85,-74.13333333,Humedad del aire 2 mt,%
